,NAME,Summary,DrugBank Accession Number,Background,Groups,Weight,Indication,CancerType
64,Cetuximab,Cetuximab is an endothelial growth factor receptor binding fragment used to treat colorectal cancer as well as squamous cell carcinoma of the head and neck.,DB00002,"Cetuximab is a recombinant chimeric human/mouse IgG1 monoclonal antibody that competitively binds to epidermal growth factor receptor (EGFR) and competitively inhibits the binding of epidermal growth factor (EGF).4 EGFR is a member of the ErbB family of receptor tyrosine kinases found in both normal and tumour cells; it is responsible for regulating epithelial tissue development and homeostasis.9 EGFR has been implicated in various types of cancer, as it is often overexpressed in malignant cells 4 and EGFR overexpression has been linked to more advanced disease and poor prognosis.3 EGFR is often mutated in certain types of cancer and serves as a driver of tumorigenesis.9 In vitro, cetuximab was shown to mediate anti-tumour effects in numerous cancer cell lines and human tumour xenografts.3
Approved by the FDA in February 2004 under the brand name ERBITUX, cetuximab is used for the treatment of head and neck cancer and metastatic, KRAS wild-type colorectal cancer, and metastatic colorectal cancer with a BRAF V600E mutation.3,13 It has also been investigated in advanced colorectal cancer, EGFR-expressing non-small cell lung cancer (NSCLC), and unresectable squamous cell skin cancer.12 Cetuximab is administered via intravenous infusion and is used as monotherapy or in combination with other chemotherapies, including platinum agents, radiation therapy, leucovorin, fluorouracil, and irinotecan.11
",Approved,,"Cetuximab indicated for the treatment of locally or regionally advanced squamous cell carcinoma of the head and neck in combination with radiation therapy. It is indicated for treating a recurrent locoregional disease or metastatic squamous cell carcinoma of the head and neck in combination with platinum-based therapy with fluorouracil. It is indicated for recurrent or metastatic squamous cell carcinoma of the head and neck progressing after platinum-based therapy.11
Cetuximab is also indicated for K-Ras wild-type, EGFR-expressing, metastatic colorectal cancer as determined by an FDA-approved test in combination with FOLFIRI, a chemotherapy combination that includes leucovorin, fluorouracil, and irinotecan; in combination with irinotecan in patients who are refractory to irinotecan-based chemotherapy; or as monotherapy in patients who have failed oxaliplatin- and irinotecan-based chemotherapy or who are intolerant to irinotecan.11
Additionally, cetuximab is also indicated for metastatic colorectal cancer that is BRAF V600E mutation-positive (as determined by an FDA-approved test) in combination with encorafenib but only after prior therapy.13
Cetuximab is not indicated for the treatment of Ras-mutant colorectal cancer or when the results of the Ras mutation tests are unknown.11
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how","LUNG, SKIN"
65,CGP-082996,,,,,,,
66,CGP-60474,,,,,,,
67,CI-1040,,DB12429,"CI-1040 has been used in trials studying the treatment of Lung Cancer, Breast Cancer, Breast Neoplasms, Pancreatic Cancer, and Colorectal Cancer, among others.
",Investigational,478.66,Not Available,"LUNG, PANCREAS, BREAST"
68,Cisplatin,"Cisplatin is a platinum based chemotherapy agent used to treat various sarcomas, carcinomas, lymphomas, and germ cell tumors.",DB00515,"Cisplatin, cisplatinum or cis-diamminedichloroplatinum(II) (CDDP) is a platinum-based chemotherapy drug used to treat various types of cancers, including sarcomas, some carcinomas (e.g. small cell lung cancer, and ovarian cancer), lymphomas and germ cell tumors. It was the first member of its class, which now also includes carboplatin and oxaliplatin.
",Approved,300.05,"For the treatment of metastatic testicular tumors, metastatic ovarian tumors and advanced bladder cancer.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how","LUNG, OVARY"
69,CMK,,,,,,,
70,CP466722,,,,,,,
71,CP724714,,,,,,,
72,Crizotinib,"Crizotinib is a receptor tyrosine kinase inhibitor used to treat metastatic non-small cell lung cancer (NSCLC) where the tumors have been confirmed to be anaplastic lymphoma kinase (ALK), or ROS1-positive.",DB08865,"Crizotinib an inhibitor of receptor tyrosine kinase for the treatment of non-small cell lung cancer (NSCLC). Verification of the presence of ALK fusion gene is done by Abbott Molecular's Vysis ALK Break Apart FISH Probe Kit. This verification is used to select for patients suitable for treatment. FDA approved in August 26, 2011.
",Approved,450.337,"Crizotinib is used for the treatment of locally advanced or metastatic non-small cell lung cancer (NSCLC) that is anaplastic-lymphoma kinase (ALK)-positive as detected by a FDA-approved test. 
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",LUNG
73,CUDC-101,,DB12174,"CUDC-101 has been used in trials studying the treatment of Cancer, Tumors, Liver Cancer, Breast Cancer, and Gastric Cancer, among others.
",Investigational,434.496,Not Available,"LIVER, STOMACH, BREAST"
74,CX-5461,,,,,,,
75,Cyclopamine,,,,,,,
76,Cytarabine,"Cytarabine is a pyrimidine nucleoside analogue used to treat acute non-lymphocytic leukemia, lymphocytic leukemia, and the blast phase of chronic myelocytic leukemia.",DB00987,"A pyrimidine nucleoside analog that is used mainly in the treatment of leukemia, especially acute non-lymphoblastic leukemia. Cytarabine is an antimetabolite antineoplastic agent that inhibits the synthesis of DNA. Its actions are specific for the S phase of the cell cycle. It also has antiviral and immunosuppressant properties. (From Martindale, The Extra Pharmacopoeia, 30th ed, p472)
","Approved, Investigational",243.2166,"For the treatment of acute non-lymphocytic leukemia, acute lymphocytic leukemia and blast phase of chronic myelocytic leukemia.
Cytarabine is indicated in combination with daunorubicin for the treatment of newly-diagnosed therapy-related acute myeloid leukemia (t-AML) or AML with myelodysplasia-related changes (AML-MRC) in adults and pediatric patients 1 year and older.2
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",BONE
77,Dabrafenib,"Dabrafenib is a kinase inhibitor used to treat patients with specific types of melanoma, non-small cell lung cancer, and thyroid cancer.",DB08912,"Dabrafenib mesylate (Tafinlar) is a reversible ATP-competitive kinase inhibitor and targets the MAPK pathway. It was approved on May 29, 2013 for the treatment of melanoma 7.
In May 2018, Tafinlar (dabrafenib) and Mekinist (Trametinib) in combination have been approved to treat anaplastic thyroid cancer caused by an abnormal BRAF V600E gene 5.
","Approved, Investigational",519.562,"Tafinlar is a kinase inhibitor that was initially indicated as a single agent for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E mutation as detected by an FDA-approved test Label.
Tafinlar in combination with Trametinib is indicated for the treatment of patients with unresectable or metastatic melanoma with BRAF V600E or V600K mutations as detected by an FDA-approved test. The use in combination is based on the demonstration of durable response rate. Improvement in disease-related symptoms or overall survival has not been demonstrated for Tafinlar in combination with trametinib Label.
In May 2018, Tafinlar (dabrafenib) and Mekinist (Trametinib) have been approved in combination to treat anaplastic thyroid cancer caused by an abnormal BRAF V600E gene 3.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how","LUNG, THYROID, SKIN"
78,Dacinostat,,,,,,,
79,Dactolisib,,DB11651,"Dactolisib has been used in trials studying the treatment of Cancer, Solid Tumor, Renal Cancer, Breast Cancer, and Cowden Syndrome, among others.
",Investigational,469.548,Not Available,"BREAST, KIDNEY"
80,Daporinad,,DB12731,"Daporinad has been used in trials studying the treatment of Melanoma, Cutaneous T-cell Lymphoma, and B-cell Chronic Lymphocytic Leukemia.
",Investigational,391.515,Not Available,"SKIN, BONE"
81,Dasatinib,Dasatinib is a tyrosine kinase inhibitor used for the treatment of lymphoblastic or chronic myeloid leukemia with resistance or intolerance to prior therapy.,DB01254,"Dasatinib is an oral dual BCR/ABL and Src family tyrosine kinase inhibitor approved for use in patients with chronic myelogenous leukemia (CML). The main targets of Dasatinib, are BCRABL, SRC, Ephrins and GFR.
","Approved, Investigational",488.006,"For the treatment of adults with chronic, accelerated, or myeloid or lymphoid blast phase chronic myeloid leukemia with resistance or intolerance to prior therapy. Also indicated for the treatment of adults with Philadelphia chromosome-positive acute lymphoblastic leukemia with resistance or intolerance to prior therapy.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how","BONE, HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"
82,DMOG,,,,,,,
83,Docetaxel,"Docetaxel is a taxoid antineoplastic agent used in the treatment of various cancers, such as locally advanced or metastatic breast cancer, metastatic prostate cancer, gastric adenocarcinoma, and head and neck cancer.",DB01248,"Docetaxel is a clinically well established anti-mitotic chemotherapy medication used mainly for the treatment of breast, ovarian, and non-small cell lung cancer. Docetaxel reversibly binds to tubulin with high affinity in a 1:1 stoichiometric ratio
","Approved, Investigational",807.8792,"For the treatment of patients with locally advanced or metastatic breast cancer after failure of prior chemotherapy. Also used as a single agent in the treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of prior platinum-based chemotherapy. It is also used in combination with prednisone, in the treatment of patients with androgen independent (hormone refractory) metastatic prostate cancer. Furthermore, docetaxel has uses in the treatment of gastric adenocarinoma and head and neck cancer. 
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how","OVARY, STOMACH, PROSTATE, LUNG, BREAST"
84,Doramapimod,,DB03044,"Doramapimod is a P38 MAP kinase inhibitor.
",Investigational,527.6572,Not Available,
85,Doxorubicin,Doxorubicin is a medication used to treat various cancers and Kaposi's Sarcoma.,DB00997,"Doxorubicin is a cytotoxic anthracycline antibiotic isolated from cultures of Streptomyces peucetius var. caesius. Doxorubicin binds to nucleic acids, presumably by specific intercalation of the planar anthracycline nucleus with the DNA double helix.
","Approved, Investigational",543.5193,"Doxorubicin is used to produce regression in disseminated neoplastic conditions like acute lymphoblastic leukemia, acute myeloblastic leukemia, Wilms’ tumor, neuroblastoma, soft tissue and bone sarcomas, breast carcinoma, ovarian carcinoma, transitional cell bladder carcinoma, thyroid carcinoma, gastric carcinoma, Hodgkin’s disease, malignant lymphoma and bronchogenic carcinoma in which the small cell histologic type is the most responsive compared to other cell types. Doxorubicin is also indicated for use as a component of adjuvant therapy in women with evidence of axillary lymph node involvement following resection of primary breast cancer.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how","OVARY, THYROID, BONE, SOFT_TISSUE, STOMACH, BREAST"
86,EHT-1864,,,,,,,
87,Elesclomol,,DB05719,"Elesclomol is a novel, injectable, drug candidate that kills cancer cells by elevating oxidative stress levels beyond a breaking point, triggering programmed cell death. In preclinical models elesclomol showed potent killing of a broad range of cancer cell types at high doses, and an ability to strongly enhance the efficacy of certain chemotherapy agents, with minimal additional toxicity, at moderate doses. It is being developed by Synta Pharmaceuticals.
",Investigational,400.518,"Investigated for use/treatment in melanoma.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",SKIN
88,Embelin,,,,,,,
89,Entinostat,,DB11841,"Entinostat is under investigation for the treatment and other of Volunteers, Breast Cancer, Human Volunteers, and Normal Volunteers. Entinostat has been investigated for the treatment of Non-Small Lung Cancer, Epigenetic Therapy.
",Investigational,376.416,Not Available,"LUNG, BREAST"
90,Enzastaurin,,DB06486,"Enzastaurin, an investigational, targeted, oral agent, will be evaluated at more than 100 sites worldwide for the treatment of relapsed glioblastoma multiforme (GBM), an aggressive and malignant form of brain cancer.
",Investigational,515.617,"Investigated for use/treatment in brain cancer, lymphoma (non-hodgkin's), and lung cancer.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how","LUNG, CENTRAL_NERVOUS_SYSTEM"
91,Epothilone B,,,,,,,
92,Erlotinib,Erlotinib is an EGFR tyrosine kinase inhibitor used to treat certain small cell lung cancers or advanced metastatic pancreatic cancers.,DB00530,"Erlotinib is an inhibitor of the epidermal growth factor receptor (EGFR) tyrosine kinase that is used in the treatment of non-small cell lung cancer, pancreatic cancer and several other types of cancer. It is typically marketed under the trade name Tarceva. Erlotinib binds to the epidermal growth factor receptor (EGFR) tyrosine kinase in a reversible fashion at the adenosine triphosphate (ATP) binding site of the receptor. Recent studies demonstrate that erlotinib is also a potent inhibitor of JAK2V617F, which is a mutant form of tyrosine kinase JAK2 found in most patients with polycythemia vera (PV) and a substantial proportion of patients with idiopathic myelofibrosis or essential thrombocythemia. This finding introduces the potential use of erlotinib in the treatment of JAK2V617F-positive PV and other myeloproliferative disorders.
","Approved, Investigational",393.4357,"Erlotinib is indicated for:

The treatment of metastatic non-small cell lung cancer (NSCLC) with tumors showing epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations Label. 
In combination with first-line treatment for patients diagnosed with locally advanced, unresectable or metastatic pancreatic cancer Label.

The safety and efficacy of erlotinib have not been established for patients with NSCLC whose tumors show other EGFR mutations. Additionally it is not recommended for use in combination with platinum-based chemotherapy. Label
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how","LUNG, PANCREAS"
93,Etoposide,Etoposide is a podophyllotoxin derivative used to treat testicular and small cell lung tumors.,DB00773,"A semisynthetic derivative of podophyllotoxin that exhibits antitumor activity. Etoposide inhibits DNA synthesis by forming a complex with topoisomerase II and DNA. This complex induces breaks in double stranded DNA and prevents repair by topoisomerase II binding. Accumulated breaks in DNA prevent entry into the mitotic phase of cell division, and lead to cell death. Etoposide acts primarily in the G2 and S phases of the cell cycle.
",Approved,588.5566,"For use in combination with other chemotherapeutic agents in the treatment of refractory testicular tumors and as first line treatment in patients with small cell lung cancer. Also used to treat other malignancies such as lymphoma, non-lymphocytic leukemia, and glioblastoma multiforme.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how","LUNG, CENTRAL_NERVOUS_SYSTEM, BONE"
94,Fedratinib,,DB12500,"Fedratinib, also known as SAR302503 and TG101348, is a tyrosine kinase inhibitor used to treat intermediate-2 and high risk primary and secondary myelofibrosis.2,7 It is an anilinopyrimidine derivative.6
Fedratinib was granted FDA approval on August 16, 2019.7
","Approved, Investigational",524.678,"Fedratinib is indicated to treat adults with primary or secondary myelofibrosis that is either intermediate-2 or high risk.7
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",
95,FH535,,,,,,,
96,FMK,,,,,,,
97,Foretinib,,DB12307,"Foretinib has been used in trials studying the treatment of Cancer, Breast Cancer, Carcinoma, Renal Cell, Recurrent Breast Cancer, and Neoplasms, Head and Neck, among others. Foretinib is an orally available small molecule compound designed to target multiple RTKs implicated in the development, progression and spread of cancer. It inhibits the activation of MET, RON, ERK and AKT, decreased proliferation and increased apoptosis.
",Investigational,632.6538,Not Available,"BREAST, KIDNEY"
98,FR-180204,,,,,,,
99,FTI-277,,,,,,,
100,Gefitinib,Gefitinib is a tyrosine kinase inhibitor used as first-line therapy to treat non-small cell lung carcinoma (NSCLC) that meets certain genetic mutation criteria.,DB00317,"Gefitinib (originally coded ZD1839) is a drug used in the treatment of certain types of cancer. Acting in a similar manner to erlotinib (marketed as Tarceva), gefitinib selectively targets the mutant proteins in malignant cells. It is marketed by AstraZeneca under the trade name Iressa.
","Approved, Investigational",446.902,"For the continued treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of either platinum-based or docetaxel chemotherapies.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",LUNG
101,Gemcitabine,"Gemcitabine is a nucleoside metabolic inhibitor used as adjunct therapy in the treatment of certain types of ovarian cancer, non-small cell lung carcinoma, metastatic breast cancer, and as a single agent for pancreatic cancer.",DB00441,"Gemcitabine is a nucleoside analog and a chemotherapeutic agent. It was originally investigated for its antiviral effects, but it is now used as an anticancer therapy for various cancers.1 Gemcitabine is a cytidine analog with two fluorine atoms replacing the hydroxyl on the ribose.3 As a prodrug, gemcitabine is transformed into its active metabolites that work by replacing the building blocks of nucleic acids during DNA elongation, arresting tumour growth and promoting apoptosis of malignant cells.6 The structure, metabolism, and mechanism of action of gemcitabine are similar to cytarabine, but gemcitabine has a wider spectrum of antitumour activity.2
Gemcitabine is marketed as Gemzar and it is available as intravenous injection. It is approved by the FDA to treat advanced ovarian cancer in combination with carboplatin, metastatic breast cancer in combination with paclitaxel, non-small cell lung cancer in combination with cisplatin, and pancreatic cancer as monotherapy.4 It is also being investigated in other cancer and tumour types.
",Approved,263.1981,"Gemcitabine is a chemotherapeutic agent used as monotherapy or in combination with other anticancer agents. 
In combination with carboplatin, it is indicated for the treatment of advanced ovarian cancer that has relapsed at least 6 months after completion of platinum-based therapy.4
Gemcitabine in combination with paclitaxel is indicated for the first-line treatment of patients with metastatic breast cancer after failure of prior anthracycline-containing adjuvant chemotherapy, unless anthracyclines were clinically contraindicated.4
In combination with cisplatin, gemcitabine is indicated for the first-line treatment of patients with inoperable, locally advanced (Stage IIIA or IIIB) or metastatic (Stage IV) non-small cell lung cancer (NSCLC).4 Dual therapy with cisplatin is also used to treat patients with Stage IV (locally advanced or metastatic) transitional cell carcinoma (TCC) of the bladder.5
Gemcitabine is indicated as first-line treatment for patients with locally advanced (nonresectable Stage II or Stage III) or metastatic (Stage IV) adenocarcinoma of the pancreas. Gemcitabine is indicated for patients previously treated with fluorouracil.4
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how","LUNG, OVARY, PANCREAS, BREAST"
102,Genentech Cpd 10,,,,,,,
103,GNF-2,,,,,,,
104,GSK1070916,,,,,,,
105,GSK1904529A,,,,,,,
106,GSK319347A,,,,,,,
107,GSK429286A,,,,,,,
108,GSK650394,,,,,,,
109,GSK690693,,DB12745,"GSK690693 has been used in trials studying the treatment of Tumor, CANCER, and Lymphoma.
",Investigational,425.4842,Not Available,
110,GW-2580,,,,,,,
111,GW441756,,,,,,,
112,GW843682X,,,,,,,
113,HG-5-113-01,,,,,,,
114,HG-5-88-01,,,,,,,
115,HG6-64-1,,,,,,,
116,I-BET-762,,,,,,,
117,ICL1100013,,,,,,,
118,Idelalisib,"Idelalisib is an antineoplastic kinase inhibitor used to treat chronic lymphocytic leukemia (CLL), relapsed follicular B-cell non-Hodgkin lymphoma (FL), and relapsed small lymphocytic lymphoma (SLL).",DB09054,"Idelalisib is a phosphoinositide 3-kinase inhibitor indicated in the treatment of chronic lymphocytic leukemia (CLL), relapsed follicular B-cell non-Hodgkin lymphoma (FL), and relapsed small lymphocytic lymphoma (SLL). For the treatment of relapsed CLL, it is currently indicated as a second-line agent in combination with rituximab in patients for whom rituximab alone would be considered appropriate therapy due to other co-morbidities, while in the treatment of FL and SLL it is intended to be used in patients who have received at least two prior systemic therapies. More specifically, idelalisib targets P110δ, the delta isoform of the enzyme phosphatidylinositol-4,5-bisphosphate 3-kinase, also known as PI-3K. The PI-3Ks are a family of enzymes involved in cellular functions such as cell growth, proliferation, differentiation, motility, survival and intracellular trafficking, which in turn are involved in cancer. In contrast to the other class IA PI3Ks p110α and p110β, p110δ is principally expressed in leukocytes (white blood cells) and is important for the function of T cells, B cell, mast cells and neutrophils. By inhibiting this enzyme, idelalisib induces apoptosis of malignant cells and inhibits several cell signaling pathways, including B-cell receptor (BCR) signaling and C-X-C chemokine receptors type 5 and type 4 signalling, which are involved in trafficking and homing of B-cells to the lymph nodes and bone marrow. Treatment of lymphoma cells with idelalisib has been shown to result in inhibition of chemotaxis and adhesion, and reduced cell viability.
",Approved,415.432,"Idelalisib is indicated in the treatment of chronic lymphocytic leukemia (CLL), relapsed follicular B-cell non-Hodgkin lymphoma (FL), and relapsed small lymphocytic lymphoma (SLL). For the treatment of relapsed CLL, it is currently indicated as a second-line agent in combination with rituximab in patients for whom rituximab alone would be considered appropriate therapy due to other co-morbidities, while in the treatment of FL and SLL it is intended to be used in patients who have received at least two prior systemic therapies.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",BONE
119,Imatinib,"Imatinib is a tyrosine kinase inhibitor used to treat a number of leukemias, myelodysplastic/myeloproliferative disease, systemic mastocytosis, hypereosinophilic syndrome, dermatofibrosarcoma protuberans, and gastrointestinal stromal tumors.",DB00619,"Imatinib is a small molecule kinase inhibitor used to treat certain types of cancer. It is currently marketed by Novartis as Gleevec (USA) or Glivec (Europe/Australia) as its mesylate salt, imatinib mesilate (INN). It is occasionally referred to as CGP57148B or STI571 (especially in older publications). It is used in treating chronic myelogenous leukemia (CML), gastrointestinal stromal tumors (GISTs) and a number of other malignancies.
It is the first member of a new class of agents that act by inhibiting particular tyrosine kinase enzymes, instead of non-specifically inhibiting rapidly dividing cells.
",Approved,493.6027,"For the treatment of Philadelphia chromosome positive chronic myeloid leukemia (Ph+ CML), Ph+ acute lymphoblastic leukaemia, myelodysplastic/myeloproliferative diseases, aggressive systemic mastocytosis, hypereosinophilic syndrome and/or chronic eosinophilic leukemia (CEL), dermatofibrosarcoma protuberans, and malignant gastrointestinal stromal tumors (GIST).
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how","STOMACH, BONE"
120,IOX2,,,,,,,
121,IPA-3,,,,,,,
122,Ispinesib Mesylate,,DB06188,Not Available,Investigational,517.07,"Investigated for use/treatment in breast cancer, lung cancer, solid tumors, renal cell carcinoma, pediatric indications, ovarian cancer, and head and neck cancer.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how","LUNG, OVARY, BREAST, KIDNEY"
123,JNK Inhibitor VIII,,,,,,,
124,JNK-9L,,,,,,,
125,JQ12,,,,,,,
126,JW-7-24-1,,,,,,,
127,JW-7-52-1,,,,,,,
128,KIN001-236,,,,,,,
129,KIN001-244,,,,,,,
130,KIN001-260,,,,,,,
131,KIN001-266,,,,,,,
132,KIN001-270,,,,,,,
133,KU-55933,,,,,,,
134,Lapatinib,Lapatinib is an antineoplastic agent and tyrosine kinase inhibitor used for the treatment of advanced or metastatic HER-negative breast cancer in patients who received prior chemotherapeutic treatments.,DB01259,"Lapatinib is an anti-cancer drug developed by GlaxoSmithKline (GSK) as a treatment for solid tumours such as breast and lung cancer. It was approved by the FDA on March 13, 2007, for use in patients with advanced metastatic breast cancer in conjunction with the chemotherapy drug Capecitabine. Lapatinib is human epidermal growth factor receptor type 2 (HER2/ERBB2) and epidermal growth factor receptor (HER1/EGFR/ERBB1) tyrosine kinases inhibitor. It binds to the intracellular phosphorylation domain to prevent receptor autophosphorylation upon ligand binding.
","Approved, Investigational",581.058,"Indicated in combination with capecitabine for the treatment of patients with advanced or metastatic breast cancer whose tumors overexpress the human epidermal receptor type 2 (HER2) protein and who have received prior therapy including an anthracycline, a taxane, and trastuzumab.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how","LUNG, BREAST"
135,Lenalidomide,Lenalidomide is a thalidomide derivative used to treat multiple myeloma and anemia in low to intermediate risk myelodysplastic syndrome.,DB00480,"Lenalidomide (previously referred to as CC-5013) is an immunomodulatory drug with potent antineoplastic, anti-angiogenic, and anti-inflammatory properties.4 It is a 4-amino-glutamyl analogue of thalidomide 3 and like thalidomide, lenalidomide exists as a racemic mixture of the active S(-) and R(+) forms.7 However, lenalidomide is much safer and potent than thalidomide, with fewer adverse effects and toxicities.2,3 Thalidomide and its analogues, including lenalidomide, are referred to as immunomodulatory imide drugs (also known as cereblon modulators), which are a class of immunomodulatory drugs that contain an imide group. Lenalidomide works through various mechanisms of actions that promote malignant cell death and enhance host immunity.7 Available as oral capsules, lenalidomide is approved by the FDA and EU for the treatment of multiple myeloma, myelodysplastic syndromes, mantle cell lymphoma, follicular lymphoma, and marginal zone lymphoma in selected patients.9 Lenalidomide is available only under a special restricted distribution program.7
",Approved,259.2606,"Lenalidomide is indicated for the treatment of adult patients with multiple myeloma (MM) in combination with dexamethasone. It is also indicated as maintenance therapy in multiple myeloma following autologous hematopoietic stem cell transplantation (auto-HSCT).
It is indicated for the treatment of adult patients with transfusion-dependent anemia due to low- or intermediate-1-risk myelodysplastic syndromes (MDS) associated with a deletion 5q cytogenetic abnormality with or without additional cytogenetic abnormalities.
Lenalidomide is indicated for the treatment of adult patients with mantle cell lymphoma (MCL) whose disease has relapsed or progressed after two prior therapies, one of which included bortezomib.
In combination with a rituximab product, lenalidomide is indicated for the treatment of adult patients with previously treated follicular lymphoma (FL) or previously treated marginal zone lymphoma (MZL).9
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",BONE
136,Lestaurtinib,,DB06469,Not Available,Investigational,439.471,"Investigated for use/treatment in pancreatic cancer, prostate cancer, and leukemia (myeloid).
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how","PANCREAS, BONE, PROSTATE"
137,LFM-A13,,,,,,,
138,Linifanib,,DB06080,"Linifanib (ABT-869) is a small molecule vascular endothelial growth factor (VEGF) receptor-based kinase inhibitor that is designed to suppress tumor growth by preventing the formation of new blood vessels that supply the tumor with oxygen and nutrients and by inhibiting key angiogenic signaling pathways. Linifanib is intended for the treatment of hematologic malignancies and the solid tumors.
",Investigational,375.407,"Investigated for use/treatment in leukemia (myeloid), myelodysplastic syndrome, and solid tumors.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",BONE
139,Linsitinib,,DB06075,"An orally bioavailable small molecule inhibitor of the insulin-like growth factor 1 receptor (IGF-1R) with potential antineoplastic activity. IGF-1R inhibitor OSI-906 selectively inhibits IGF-1R, which may result in the inhibition of tumor cell proliferation and the induction of tumor cell apoptosis.
",Investigational,421.504,"Investigated for use/treatment in cancer/tumors (unspecified) and solid tumors.
Reduce drug development failure ratesBuild, train, & validate machine-learning modelswith evidence-based and structured datasets.See how  Build, train, & validate predictive machine-learning models with structured datasets.See how",
140,Luminespib,,,,,,,
141,Masitinib,,DB11526,"Masitinib is a tyrosine-kinase inhibitor used in the treatment of mast cell tumors in dogs. It has been available in Europe since 2009, under the brand name Masivet. In the USA it is distributed under the name Kinavet and has been available for veterinaries since 2011.
","Investigational, Vet approved",498.65,Not Available,
